id,nama,satuan,stok,catatan,active,created_at,updated_at
1,Gula Cair,ml,1000,by sistem,1,2024-09-25 01:19:51,2024-11-28 14:39:16
2,Galon,ml,1000,by sistem,1,2024-09-25 01:19:51,2024-09-25 01:19:51
3,Susu 3 Sapi,ml,1000,by sistem,1,2024-09-25 01:19:51,2024-09-25 01:19:51
4,Es Batu,gr,1000,by sistem,1,2024-09-25 01:19:51,2024-11-23 20:38:42
5,Air Teh,ml,1000,by sistem,1,2024-09-25 01:19:51,2024-09-25 01:19:51
6,Gelas Cup 18oz Polos,pcs,1000,by sistem,1,2024-09-25 01:19:51,2025-01-16 14:45:43
7,Gelas Cup 18oz Sablon,pcs,1000,by sistem,1,2024-09-25 01:19:51,2024-10-10 21:58:37
8,Powder Coklat,gr,1000,by sistem,1,2024-09-25 01:19:51,2024-09-25 01:19:51
9,Powder Taro,gr,1000,by sistem,1,2024-09-25 01:19:51,2024-09-25 01:19:51
10,Powder GreenTea,gr,1000,by sistem,1,2024-09-25 01:19:51,2024-09-25 01:19:51
11,Powder RedVelvet,gr,1000,by sistem,1,2024-09-25 01:19:51,2024-09-25 01:19:51
12,Powder Strawberry,gr,1000,by sistem,1,2024-09-25 01:19:51,2024-09-25 01:19:51
13,Marjan Lychee,ml,1000,by sistem,1,2024-09-25 01:19:51,2025-01-06 19:41:11
14,Marjan Markisa,ml,1000,by sistem,1,2024-09-25 01:19:51,2024-09-25 01:19:51
15,Marjan Lemon,ml,1000,by sistem,1,2024-09-25 01:19:51,2024-09-25 01:19:51
16,Nestle Carnation 488g,gr,1000,by sistem,1,2024-10-03 12:07:13,2024-11-26 17:04:48
17,Yakult,pcs,1000,by sistem,1,2024-10-08 09:11:35,2024-10-08 09:11:35
18,teh dandang biru 40gr,gr,1000,by sistem,1,2024-10-09 19:17:43,2024-10-09 19:17:43
19,susu Foyu SKM ( Krimer ),gr,1000,by sistem,1,2024-10-25 09:08:59,2024-10-25 09:08:59
20,Gelas Cup 18 oz ( slim ),pcs,1000,by sistem,1,2024-10-28 20:52:41,2025-01-12 18:15:17
21,Nestle Carnation 365g,gr,1000,by sistem,1,2024-10-29 21:36:53,2025-01-03 21:30:19
22,Sedotan steril,pcs,1000,by sistem,1,2024-12-30 21:16:35,2024-12-30 21:16:35
