"id","kode","grand_total","metode_pembayaran_id","metode_pembelian_id","created_at","updated_at"
"7","TRX-STU07aqp","22000","2","1","2024-09-13 04:39:56","2024-09-13 04:39:56"
"8","TRX-K1JMQBU6","6000","2","1","2024-09-13 05:13:13","2024-09-13 05:13:13"
"9","TRX-2fY0ltKU","13000","2","1","2024-09-13 05:25:40","2024-09-13 05:25:40"
"10","TRX-XHc1xF78","21000","2","1","2024-09-13 05:37:08","2024-09-13 05:37:08"
"11","TRX-gVWj2caP","5000","2","1","2024-09-13 05:47:36","2024-09-13 05:47:36"
"12","TRX-nHlTU4vA","8000","2","1","2024-09-13 06:13:36","2024-09-13 06:13:36"
"13","TRX-4vLiOgZO","2000","2","1","2024-09-13 06:20:49","2024-09-13 06:20:49"
"14","TRX-szXbGcKC","12000","2","1","2024-09-13 08:09:03","2024-09-13 08:09:03"
"15","TRX-3mifbX8G","5000","2","1","2024-09-13 08:59:08","2024-09-13 08:59:08"
"16","TRX-1dLtWlJq","10000","1","1","2024-09-13 08:59:20","2024-09-13 08:59:20"
"17","TRX-aoTBCBFi","12000","2","1","2024-09-13 09:15:23","2024-09-13 09:15:23"
"18","TRX-P7adMHhj","5000","2","1","2024-09-13 09:15:30","2024-09-13 09:15:30"
"19","TRX-9C8kAGEa","14000","2","1","2024-09-13 09:56:02","2024-09-13 09:56:02"
"20","TRX-PYEkhKOn","5000","2","1","2024-09-13 13:14:08","2024-09-13 13:14:08"
"21","TRX-ln3jNPO5","12000","2","1","2024-09-13 13:24:53","2024-09-13 13:24:53"
"22","TRX-8D25iA0d","10000","2","1","2024-09-13 13:42:42","2024-09-13 13:42:42"
"23","TRX-9tz5eayF","5000","3","3","2024-09-13 13:59:53","2024-09-13 13:59:53"
"24","TRX-rJ8uy0qO","5000","2","1","2024-09-13 14:20:05","2024-09-13 14:20:05"
"25","TRX-kYNuZhvF","10000","2","1","2024-09-13 14:25:13","2024-09-13 14:25:13"
"26","TRX-QCT0hByD","5000","1","1","2024-09-13 15:00:39","2024-09-13 15:00:39"
"27","TRX-y0vevUt4","7000","2","1","2024-09-14 11:43:16","2024-09-14 11:43:16"
"28","TRX-QbXnnEU2","5000","2","1","2024-09-14 12:11:03","2024-09-14 12:11:03"
"29","TRX-htluwDkb","5000","2","1","2024-09-14 12:34:55","2024-09-14 12:34:55"
"30","TRX-lVtrGYwo","15000","2","1","2024-09-14 13:02:59","2024-09-14 13:02:59"
"31","TRX-qa3Zy8v6","12000","2","1","2024-09-14 13:03:04","2024-09-14 13:03:04"
"32","TRX-pB1xVkth","5000","2","1","2024-09-14 13:11:21","2024-09-14 13:11:21"
"33","TRX-ERCB8AzQ","10000","2","1","2024-09-14 13:41:32","2024-09-14 13:41:32"
"34","TRX-LHILEi0T","8000","2","1","2024-09-14 13:41:41","2024-09-14 13:41:41"
"35","TRX-FWW7EB9k","5000","2","1","2024-09-14 14:12:19","2024-09-14 14:12:19"
"36","TRX-FCNIN24z","10000","2","1","2024-09-14 14:25:31","2024-09-14 14:25:31"
"37","TRX-LODEhjY3","10000","2","1","2024-09-14 14:31:24","2024-09-14 14:31:24"
"38","TRX-h93GMiZh","10000","2","1","2024-09-14 14:36:52","2024-09-14 14:36:52"
"39","TRX-0niH1CYX","5000","2","1","2024-09-14 14:40:17","2024-09-14 14:40:17"
"40","TRX-MtbILnrB","10000","2","1","2024-09-14 15:03:11","2024-09-14 15:03:11"
"41","TRX-zt9RQ7Zj","5000","2","1","2024-09-14 15:12:37","2024-09-14 15:12:37"
"42","TRX-86Hw3GCH","10000","2","1","2024-09-14 15:36:39","2024-09-14 15:36:39"
"43","TRX-XatGa0M9","8000","2","1","2024-09-14 16:10:37","2024-09-14 16:10:37"
"44","TRX-DnAs9Xd3","5000","2","1","2024-09-14 16:53:10","2024-09-14 16:53:10"
"45","TRX-ZGxJdeTE","16000","2","1","2024-09-14 17:12:01","2024-09-14 17:12:01"
"46","TRX-v84VBGV8","22000","2","1","2024-09-14 17:33:05","2024-09-14 17:33:05"
"47","TRX-B52bWIuS","5000","2","1","2024-09-14 17:37:23","2024-09-14 17:37:23"
"48","TRX-Dnyipk18","15000","1","1","2024-09-14 18:49:27","2024-09-14 18:49:27"
"49","TRX-YVbDueaI","20000","1","1","2024-09-14 18:49:40","2024-09-14 18:49:40"
"50","TRX-5N3IHHBl","15000","2","1","2024-09-14 20:14:42","2024-09-14 20:14:42"
"51","TRX-BAskYXKV","5000","2","1","2024-09-14 20:14:46","2024-09-14 20:14:46"
"52","TRX-T1TBKdiz","5000","2","1","2024-09-14 20:14:50","2024-09-14 20:14:50"
"53","TRX-TEDnLhXO","14000","2","1","2024-09-14 20:28:13","2024-09-14 20:28:13"
"54","TRX-ly2YZNMG","8000","2","1","2024-09-14 20:58:56","2024-09-14 20:58:56"
"55","TRX-gxTvqraY","14000","2","1","2024-09-14 21:16:24","2024-09-14 21:16:24"
"56","TRX-pRbRVtrZ","6000","2","1","2024-09-14 22:06:22","2024-09-14 22:06:22"
"57","TRX-HO8exXqG","11000","2","1","2024-09-15 16:39:35","2024-09-15 16:39:35"
"58","TRX-YhfZQTw2","5000","2","1","2024-09-16 14:16:53","2024-09-16 14:16:53"
"59","TRX-CUHaCpZ0","8000","2","1","2024-09-16 14:27:49","2024-09-16 14:27:49"
"60","TRX-6CpZHHZc","15000","2","1","2024-09-16 15:23:08","2024-09-16 15:23:08"
"61","TRX-SqJKB5rC","14000","2","1","2024-09-16 15:29:56","2024-09-16 15:29:56"
"62","TRX-pNAhBMSZ","8000","1","3","2024-09-16 15:30:16","2024-09-16 21:25:44"
"63","TRX-qBmMAdOX","18000","2","1","2024-09-16 16:04:32","2024-09-16 16:04:32"
"64","TRX-MC1hwNMu","10000","2","1","2024-09-16 16:18:42","2024-09-16 16:18:42"
"65","TRX-jV3jP5yx","10000","2","1","2024-09-16 17:02:21","2024-09-16 17:02:21"
"66","TRX-W1DtadnR","8000","1","1","2024-09-16 17:05:00","2024-09-16 17:05:00"
"67","TRX-MtFpoglG","40000","2","1","2024-09-16 17:28:32","2024-09-16 17:28:32"
"68","TRX-xks0vK3V","10000","2","1","2024-09-16 17:28:46","2024-09-16 17:28:46"
"69","TRX-cdrvwTBw","8000","2","1","2024-09-16 17:28:52","2024-09-16 17:28:52"
"70","TRX-4ejrY47s","6000","2","1","2024-09-16 17:44:44","2024-09-16 17:44:44"
"71","TRX-arHNSeND","10000","2","1","2024-09-16 17:53:09","2024-09-16 17:53:09"
"72","TRX-pDQJTa92","6000","1","1","2024-09-16 18:06:41","2024-09-16 18:06:41"
"73","TRX-gzMWOSgz","12000","2","1","2024-09-16 18:33:58","2024-09-16 18:33:58"
"74","TRX-88hVfv5B","19000","2","1","2024-09-16 19:20:39","2024-09-16 19:20:39"
"75","TRX-XfV0eeRN","16000","2","1","2024-09-16 20:01:36","2024-09-16 20:01:36"
"78","TRX-8o7Q4KGz","14000","2","1","2024-09-16 20:27:26","2024-09-16 20:27:26"
"79","TRX-GaQUIFXP","15000","2","1","2024-09-16 20:53:38","2024-09-16 20:53:38"
"80","TRX-zR05ImRQ","10000","1","1","2024-09-16 21:19:52","2024-09-16 21:19:52"
"81","TRX-QpeHVVb1","20000","2","1","2024-09-16 21:50:35","2024-09-16 21:50:35"
"82","TRX-7Yd9ZVbf","16000","2","1","2024-09-16 21:50:45","2024-09-16 21:50:45"
"83","TRX-QEpiGbg0","13000","2","1","2024-09-18 11:58:43","2024-09-18 11:58:43"
"84","TRX-XbisNXr6","16000","2","1","2024-09-18 12:04:54","2024-09-18 12:04:54"
"85","TRX-niCE9503","8000","1","1","2024-09-18 12:08:11","2024-09-18 12:08:11"
"86","TRX-mqdaIaH6","5000","2","1","2024-09-18 12:19:09","2024-09-18 12:19:09"
"87","TRX-GKdMPytD","8000","1","1","2024-09-18 12:19:16","2024-09-18 12:19:16"
"88","TRX-QxsEistS","10000","2","1","2024-09-18 12:51:23","2024-09-18 12:51:23"
"89","TRX-FWpSyPGc","13000","2","1","2024-09-18 13:16:36","2024-09-18 13:16:36"
"90","TRX-uudru71r","5000","2","1","2024-09-18 13:35:08","2024-09-18 13:35:08"
"91","TRX-qlHwf6QW","12000","1","1","2024-09-18 14:15:24","2024-09-18 14:15:24"
"92","TRX-8uMKCgPJ","6000","2","1","2024-09-18 14:15:33","2024-09-18 14:15:33"
"93","TRX-utRd8BlU","36000","2","1","2024-09-18 14:46:01","2024-09-18 14:46:01"
"94","TRX-uDbN7sJ9","10000","2","1","2024-09-18 14:46:07","2024-09-18 14:46:07"
"95","TRX-slaM9SEg","15000","2","1","2024-09-18 15:22:22","2024-09-18 15:22:22"
"96","TRX-XDaNPaUi","5000","2","1","2024-09-18 15:28:54","2024-09-18 15:28:54"
"97","TRX-5obI8IWe","6000","2","1","2024-09-18 15:39:47","2024-09-18 15:39:47"
"98","TRX-9Lyi9130","8000","2","1","2024-09-18 16:02:36","2024-09-18 16:02:36"
"99","TRX-CrUD13jR","20000","2","1","2024-09-18 16:45:00","2024-09-18 16:45:00"
"100","TRX-MUT5gLOh","8000","2","1","2024-09-18 16:45:13","2024-09-18 16:45:13"
"101","TRX-0g89pR9j","16000","1","1","2024-09-18 17:31:20","2024-09-18 17:31:20"
"102","TRX-JdwapxFp","10000","2","1","2024-09-18 17:31:32","2024-09-18 17:31:32"
"103","TRX-1IlA01QU","8000","2","1","2024-09-18 17:31:38","2024-09-18 17:31:38"
"104","TRX-NgBLmnvx","13000","2","1","2024-09-18 19:38:58","2024-09-18 19:38:58"
"105","TRX-9AaLfAnq","12000","2","1","2024-09-18 20:00:09","2024-09-18 20:00:09"
"106","TRX-iBlCMYpo","20000","2","1","2024-09-18 20:28:27","2024-09-18 20:28:27"
"107","TRX-1UqxdvtF","6000","2","1","2024-09-18 20:28:34","2024-09-18 20:28:34"
"115","TRX-gIyoWuAV","56000","2","1","2024-09-19 13:55:22","2024-09-19 13:55:22"
"116","TRX-7D2tz0MH","5000","2","1","2024-09-19 14:04:29","2024-09-19 14:04:29"
"117","TRX-xLpLBdkm","12000","2","1","2024-09-19 14:28:33","2024-09-19 14:28:33"
"118","TRX-VdtEaWDU","15000","2","1","2024-09-19 14:59:05","2024-09-19 14:59:05"
"119","TRX-ukbAJECg","23000","2","1","2024-09-19 15:44:34","2024-09-19 15:44:34"
"120","TRX-oWZLRSmh","10000","2","1","2024-09-19 15:52:52","2024-09-19 15:52:52"
"121","TRX-ScedTPv3","13000","2","1","2024-09-19 16:15:45","2024-09-19 16:15:45"
"122","TRX-ZNYvXUqL","8000","2","1","2024-09-19 16:21:16","2024-09-19 16:21:16"
"123","TRX-D1JgfQnY","5000","2","1","2024-09-19 16:42:29","2024-09-19 16:42:29"
"124","TRX-PMgU8UA8","5000","2","1","2024-09-19 17:05:09","2024-09-19 17:05:09"
"125","TRX-5GcIU7Iy","5000","1","1","2024-09-19 17:05:17","2024-09-19 17:05:17"
"126","TRX-2hbrl9K9","23000","2","1","2024-09-19 17:22:56","2024-09-19 17:22:56"
"127","TRX-oXjPc6wg","10000","2","1","2024-09-19 17:41:39","2024-09-19 17:41:39"
"128","TRX-RwFfGn6r","5000","2","1","2024-09-19 17:49:48","2024-09-19 17:49:48"
"129","TRX-bNIScXjA","8000","2","1","2024-09-19 17:59:05","2024-09-19 17:59:05"
"130","TRX-Rn8gk4JQ","8000","2","1","2024-09-19 17:59:23","2024-09-19 17:59:23"
"131","TRX-gTqTWLGB","10000","2","1","2024-09-19 18:07:05","2024-09-19 18:07:05"
"132","TRX-umcMwB8R","8000","2","1","2024-09-19 18:18:40","2024-09-19 18:18:40"
"133","TRX-HsXgfxnV","10000","2","1","2024-09-19 18:28:49","2024-09-19 18:28:49"
"134","TRX-AGwXN1Zj","10000","2","1","2024-09-19 19:17:21","2024-09-19 19:17:21"
